-2	-13	9
3	3	3
e	e	10

0	3
e	e

e	e
e	e

Empty

Empty

408097	281912	502401	e	287222	181842	316957	496274	255142	308624	436980	311747	32425	618803	271506	351713	154439	499291	501	314474	345739	204435	289308	e	391173	384128	482429	103905	546262	280459	140264	286322	343569	355239	220029	207858	346784	e	237781	255303	60722	300571	326679	361927	68286	225923	221816	270353	125603	435105	62672	429261	54308	186137	486127	127574	216876	546204	605565	255694	209806	125824	268140	76940	e	20271	590431	398602	471108	155262	454291	193825	445023	425868	263877	154819	200347	471075	442775	294049	268757	463158	281612	543807	424289	185362	155475	370247	302859	209998	254283	119055	263645	216786	296375	174898	504878	588665	e	318358
408089	151419	252374	e	9626	181842	183893	251787	e	5213	197167	291800	e	310243	e	291401	48474	238354	e	267991	173552	64396	e	e	124674	197831	304821	e	290682	38423	35007	109491	136965	195053	36130	47065	279536	e	51478	120972	22460	101059	244083	239756	63272	190504	138283	e	e	277247	e	223141	37897	169511	277459	127574	216876	309853	308027	15621	101722	42947	24357	e	e	e	278584	310375	265276	81009	314950	122662	276035	242345	166417	142475	30984	173603	249603	e	e	208442	116187	234281	113509	144192	63106	303648	129875	e	e	119506	133361	216786	296375	17382	295110	304585	e	113897
241150	110030	177985	105567	90297	103836	26833	249948	61506	59066	78356	10982	86049	197905	241879	e	135298	114735	25774	e	209004	74835	161175	e	267973	249163	142433	79659	23811	147662	35630	83199	e	205689	8157	273757	e	245385	260137	11119	130138	306569	e	129690	245864	284576	107285	116608	158950	182436	183980	e	131039	267693	225019	22	290825	286820	24538	202893	4961	110532	200375	171146	202428	89813	52258	73533	103429	59209	209674	211798	290763	229766	249106	24214	283982	176307	311528	132868	92195	93968	98865	25129	152990	291476	132550	e	212515	32798	246438	-11028	219131	257349	137259	e	129344	132437	223460	205518
28575	273623	139582	151516	e	279955	59213	166538	39485	263841	108823	99607	897	285825	51715	127261	231708	63350	44717	105929	170415	107833	65273	47636	126495	220430	e	102596	e	30160	79141	89421	144296	118309	206108	258888	67679	319671	194631	221229	214927	115406	206374	113889	156597	306431	303923	e	e	e	88590	e	167467	165035	63954	149374	297854	40968	232232	56671	125219	261792	e	48810	e	188712	e	161980	31333	306100	e	150265	91360	237290	223839	262731	235900	179746	202332	152370	123727	149954	95428	223907	206277	33192	154193	e	201022	e	e	51715	47022	e	203990	281644	145566	214672	80564	258103
e	166802	75383	e	201650	270584	303802	343635	224923	17494	186329	192654	219479	294605	247229	281490	e	114036	285302	259702	251777	300170	e	7433	45050	58154	195653	257533	129242	158972	25788	139465	239284	149000	234554	7748	270591	255763	236101	68305	80834	51995	306836	e	101610	63116	26074	108730	159823	172181	236559	15962	303024	247890	305257	e	25031	e	116394	280213	19353	194091	e	44843	e	164308	92722	315597	77518	306464	287936	74113	157620	12462	91292	113459	152672	e	230412	277164	247659	e	69756	116213	244765	305748	e	87079	162857	210613	e	21395	250525	313084	e	e	e	257829	e	92862
74820	e	106276	6296	297093	212064	294928	232164	e	178137	53478	140032	85545	145212	3844	21249	e	266761	7360	3829	96953	133450	298855	274448	151193	62341	278664	4310	313654	e	109018	295990	92834	162676	253106	58267	191256	181265	271611	47551	25361	188562	e	298138	242692	103939	235448	12096	90858	106695	e	141813	e	84099	147799	5044	e	113545	142501	254394	47187	293258	282113	15060	21678	171492	153851	189735	87139	5	241047	191545	e	153827	301410	285258	308848	e	211018	174515	240296	112613	127050	142177	143287	15023	51390	27906	128507	198664	175836	162676	e	e	291358	178304	311716	257488	194788	185048
17850	173279	281834	99406	178754	46366	201848	193366	58845	319509	208023	26412	75254	227948	e	172129	239827	e	209112	86984	34688	299578	228261	221517	302179	125472	25277	217222	22628	56804	e	202655	e	127891	16225	108926	244007	297849	e	108909	e	184464	78508	234143	47962	254365	73783	271061	123445	256024	180715	e	243041	30020	68388	93878	54203	236336	47975	123420	181629	e	e	285653	235526	38818	318637	15664	111109	310662	272437	225683	303406	e	309631	290643	110777	97861	303448	e	262122	253179	e	160625	140328	306765	295585	59514	e	159886	239853	105018	293645	287486	283324	202705	237567	e	227228	202458
e	176583	130474	242758	27642	292205	e	292341	293691	154831	205459	312305	181407	254897	286006	88202	38902	47506	e	292474	302151	306856	147258	e	58260	122954	313720	45783	227694	e	14698	3243	208722	e	e	225749	5304	154336	207755	102365	26184	e	50022	60732	277345	245999	282059	318853	230167	11113	222809	69070	e	36784	258788	308834	41006	122139	291701	6142	276023	e	135039	311312	105524	221524	293167	119826	43052	2429	67948	250307	259754	30040	176656	292084	35725	110896	79866	e	229641	e	90851	30363	e	285772	e	259449	91636	e	104680	-37448	269669	235503	175946	e	25624	37082	284409	244279
e	181523	131158	47169	181370	296066	284767	94132	255658	240190	71060	156021	226912	50316	19406	30312	75726	224798	59018	278731	242972	317274	185728	86158	e	23568	39879	133892	177318	165575	112776	170129	100370	e	27339	201748	281008	222299	135349	260442	227441	160482	34467	139728	72511	72071	e	216674	78501	36682	204424	158610	e	20563	20817	e	18537	e	e	5903	e	232219	109559	e	e	e	191782	139722	105459	128309	310793	245132	198875	202449	292636	216187	93179	e	197542	84672	e	e	e	89785	149996	48242	79210	124638	115564	e	88334	184770	88296	226311	e	55523	e	228626	275131	73328
13565	170663	144091	207714	99954	211099	32154	322753	232588	55354	187413	e	233757	100	195806	68274	252784	223015	80308	274838	266184	223275	204255	131767	275256	132049	52135	117060	258634	172824	e	75529	162390	32189	318838	e	228528	e	108160	140277	e	186658	164554	102751	209610	167154	155118	49842	294789	311925	127290	e	158381	74153	303830	234293	6248	73031	107881	319092	70973	e	53439	292747	172108	144505	118793	e	34402	312258	304002	270813	94728	285884	e	154744	13478	67769	155240	e	5979	280648	156074	113353	13479	80045	35971	255809	251665	128195	74167	-123720	e	126732	78015	212254	90300	145171	190693	289399
